,Airline,Cancelled,ArrDelay,OriginCityName,DestCityName,Distance,Month,DayOfMonth,DayOfWeek,ArrTime
666070,Frontier Airlines Inc.,False,17.0,"Orlando, FL","Indianapolis, IN",829.0,4,24,3,1645.0
517782,Southwest Airlines Co.,False,9.0,"Norfolk, VA","Chicago, IL",704.0,3,18,1,1829.0
581975,Delta Air Lines Inc.,False,9.0,"Atlanta, GA","San Francisco, CA",2139.0,1,24,4,1323.0
432472,Southwest Airlines Co.,False,-2.0,"Orlando, FL","Pittsburgh, PA",834.0,7,12,5,1258.0
337090,Mesa Airlines Inc.,False,18.0,"Washington, DC","Greer, SC",384.0,10,5,6,1442.0
282499,SkyWest Airlines Inc.,False,-8.0,"Chicago, IL","Oklahoma City, OK",693.0,3,27,3,2046.0
66507,Endeavor Air Inc.,False,-8.0,"New York, NY","Buffalo, NY",292.0,4,30,2,1723.0
96783,Republic Airlines,False,-16.0,"Atlanta, GA","Washington, DC",547.0,7,17,3,743.0
18283,Southwest Airlines Co.,False,-17.0,"Tulsa, OK","St. Louis, MO",351.0,11,10,7,1823.0
471130,JetBlue Airways,False,-20.0,"Newark, NJ","Boston, MA",200.0,9,12,4,1323.0
467494,SkyWest Airlines Inc.,False,72.0,"Milwaukee, WI","Houston, TX",984.0,5,2,4,1210.0
246189,Southwest Airlines Co.,False,-17.0,"Providence, RI","Orlando, FL",1072.0,1,17,4,1608.0
302776,Southwest Airlines Co.,False,-4.0,"Chicago, IL","Detroit, MI",228.0,1,14,1,2326.0
110105,Southwest Airlines Co.,False,15.0,"Kahului, HI","Oakland, CA",2349.0,6,25,2,2200.0
562474,Republic Airlines,False,8.0,"Boston, MA","New York, NY",184.0,4,16,2,1434.0
631111,Delta Air Lines Inc.,False,-21.0,"Greer, SC","Atlanta, GA",153.0,4,12,5,1325.0
7006,American Airlines Inc.,False,-1.0,"Dallas/Fort Worth, TX","Austin, TX",190.0,3,2,6,1048.0
625849,JetBlue Airways,False,-15.0,"New York, NY","Seattle, WA",2422.0,3,22,5,1144.0
469664,Southwest Airlines Co.,False,-3.0,"Oakland, CA","Salt Lake City, UT",588.0,3,29,5,1257.0
203788,American Airlines Inc.,False,-9.0,"El Paso, TX","Dallas/Fort Worth, TX",551.0,5,10,5,1704.0
80611,Southwest Airlines Co.,True,0.0,"Atlanta, GA","Chicago, IL",591.0,11,26,2,0.0
263520,American Airlines Inc.,False,53.0,"San Francisco, CA","Charlotte, NC",2296.0,5,30,4,2232.0
