DestCityName,AtrasoMedio,NumVoos
"Aberdeen, SD",3.0532623169107858,751
"Abilene, TX",6.005281690140845,2272
"Adak Island, AK",-9.317307692307692,104
"Aguadilla, PR",13.951409978308027,2305
"Akron, OH",14.477015921931176,7788
"Albany, GA",5.7432835820895525,1005
"Albany, NY",8.700090744101633,17632
"Albuquerque, NM",5.214882595379438,26447
"Alexandria, LA",4.194987775061125,3272
"Allentown/Bethlehem/Easton, PA",3.7570336391437307,6540
"Alpena, MI",3.218152866242038,628
"Amarillo, TX",10.18531111866712,5882
"Anchorage, AK",-0.6840877984488265,19727
"Appleton, WI",6.413808203182017,6851
"Arcata/Eureka, CA",13.108684863523573,2015
"Asheville, NC",7.7262255805381495,10852
"Ashland, WV",2.6140350877192984,1596
"Aspen, CO",16.346142162818953,6584
"Atlanta, GA",1.051891727955114,395670
"Atlantic City, NJ",5.122068743976871,3113
"Augusta, GA",3.12833426599515,5361
"Austin, TX",3.860851057496242,67187
"Bakersfield, CA",8.77004048582996,2470
"Baltimore, MD",1.320930408615175,105674
"Bangor, ME",7.812814724778607,5759
"Barrow, AK",-6.684065934065934,728
"Baton Rouge, LA",5.981933974525604,7694
"Beaumont/Port Arthur, TX",4.166833166833166,1001
"Belleville, IL",7.2679802955665025,1015
"Bellingham, WA",-0.028054298642533938,3315
"Bemidji, MN",-0.36792452830188677,742
"Bend/Redmond, OR",5.630395884589578,8942
"Bethel, AK",-2.7206771463119708,827
"Billings, MT",3.586683880486905,5422
"Binghamton, NY",4.995824634655532,958
"Birmingham, AL",7.727717313132282,20857
"Bismarck/Mandan, ND",5.856746252082177,5403
"Bloomington/Normal, IL",8.019811627151674,3079
"Boise, ID",2.1814509803921567,25500
"Boston, MA",9.86411111038353,152713
"Bozeman, MT",3.201332698714898,8404
"Brainerd, MN",4.388364779874214,636
"Branson, MO",9.0995670995671,231
"Bristol/Johnson City/Kingsport, TN",2.564349621472815,4359
"Brownsville, TX",5.214206845785793,2717
"Brunswick, GA",5.484088717454195,1037
"Buffalo, NY",6.6933078393881456,28765
"Burbank, CA",3.057356608478803,32481
"Burlington, VT",8.828178407669862,11995
"Butte, MT",-5.735598227474151,677
"CONCORD, NC",7.50109409190372,1371
"Cape Girardeau, MO",7.906903765690377,956
"Casper, WY",11.243313201035376,2318
"Cedar City, UT",0.32634338138925295,763
"Cedar Rapids/Iowa City, IA",5.791228233541298,10739
"Champaign/Urbana, IL",9.56803306923872,2903
"Charleston, SC",4.764966418587766,27545
"Charleston/Dunbar, WV",8.687677995063604,5267
"Charlotte Amalie, VI",3.980548894217959,3753
"Charlotte, NC",2.91073232175517,256431
"Charlottesville, VA",7.273187369347563,9089
"Chattanooga, TN",5.145922746781116,10252
"Cheyenne, WY",1.021359223300971,515
"Chicago, IL",9.294674324769433,485760
"Christiansted, VI",2.0671140939597317,894
"Cincinnati, OH",6.226587676810559,51821
"Clarksburg/Fairmont, WV",15.487719298245613,855
"Cleveland, OH",5.808422142145212,52172
"Cody, WY",22.354054054054053,1110
"College Station/Bryan, TX",5.583848190644307,2266
"Colorado Springs, CO",10.790449233016801,10952
"Columbia, MO",13.69835466179159,3282
"Columbia, SC",7.088101487314086,11430
"Columbus, GA",3.9505494505494507,1274
"Columbus, MS",2.3902027027027026,1184
"Columbus, OH",4.499795453217229,51333
"Cordova, AK",2.7326869806094183,722
"Corpus Christi, TX",5.325589282686112,5897
"Dallas, TX",2.5681210208121557,74764
"Dallas/Fort Worth, TX",8.068642535866488,304811
"Dayton, OH",8.86419900735514,16723
"Daytona Beach, FL",1.9972809667673717,3310
"Deadhorse, AK",-1.5161943319838056,988
"Del Rio, TX",2.4827109266943292,723
"Denver, CO",7.001554299415221,286946
"Des Moines, IA",6.127211911955114,18536
"Detroit, MI",3.2686285617175552,176530
"Devils Lake, ND",12.397435897435898,624
"Dickinson, ND",22.42480620155039,645
"Dillingham, AK",-3.548780487804878,82
"Dothan, AL",3.7563636363636363,1375
"Dubuque, IA",9.71210676835081,1049
"Duluth, MN",9.085553582001184,3378
"Durango, CO",14.639314285714285,4375
"Eagle, CO",16.495586380832282,2379
"Eau Claire, WI",12.392857142857142,728
"El Paso, TX",6.509986819426138,19726
"Elko, NV",-2.1346153846153846,676
"Elmira/Corning, NY",6.55446977922548,2763
"Erie, PA",8.28544061302682,2610
"Escanaba, MI",6.3099041533546325,626
"Eugene, OR",4.40951419275216,8913
"Evansville, IN",5.777938256002889,5539
"Everett, WA",-2.257098016835497,7009
"Fairbanks, AK",-1.7820197044334976,4872
"Fargo, ND",7.902984093598002,7607
"Fayetteville, AR",5.118141311266709,15710
"Fayetteville, NC",5.508470474346564,4132
"Flagstaff, AZ",3.9815106215578284,2542
"Flint, MI",5.430975665226291,4397
"Florence, SC",4.16376582278481,1264
"Fort Lauderdale, FL",7.475617312165443,98451
"Fort Myers, FL",3.1263270870801185,34474
"Fort Smith, AR",6.37459584295612,2165
"Fort Wayne, IN",6.614449960804808,7654
"Fresno, CA",3.8486021165692623,12662
"Gainesville, FL",4.3729334871203385,5202
"Garden City, KS",4.287087912087912,728
"Gillette, WY",6.927554980595084,773
"Grand Forks, ND",0.7520113582584004,2113
"Grand Island, NE",1.648861646234676,1142
"Grand Junction, CO",4.476132439569368,4923
"Grand Rapids, MI",7.8538065045842265,21923
"Great Falls, MT",4.125590179414542,3177
"Green Bay, WI",7.300578939133156,6391
"Greensboro/High Point, NC",7.005951423516166,18651
"Greenville, NC",6.328367875647668,1544
"Greer, SC",5.9783765984303825,18221
"Guam, TT",-0.8891537544696066,839
"Gulfport/Biloxi, MS",7.876832203019033,4571
"Gunnison, CO",15.350119904076738,834
"Gustavus, AK",-6.7682926829268295,82
"Hagerstown, MD",8.562841530054644,183
"Hancock/Houghton, MI",15.875,728
"Harlingen/San Benito, TX",3.061970575122604,4486
"Harrisburg, PA",4.411022113877764,11486
"Hartford, CT",5.263186403954228,29538
"Hattiesburg/Laurel, MS",15.279266572637518,709
"Hayden, CO",19.277306168647424,1767
"Hays, KS",14.888089528377298,1251
"Helena, MT",2.2905211325400083,2437
"Hibbing, MN",-7.840255591054313,626
"Hilo, HI",-1.4227309893704005,6115
"Hilton Head, SC",14.068517689207344,2233
"Hobbs, NM",11.005347593582888,748
"Honolulu, HI",0.6300166189314381,56562
"Hoolehua, HI",5.500454959053685,1099
"Houston, TX",6.0577526183128,240422
"Huntsville, AL",5.817560975609756,11275
