Airline,VoosCancelados,VoosCanceladosPct
Southwest Airlines Co.,33622,2.4650536018288114
American Airlines Inc.,20151,2.0313794751135603
SkyWest Airlines Inc.,17349,1.8324292124008212
Envoy Air,11405,1.3630035075978035
Republic Airlines,7679,1.2268537010113274
Mesa Airlines Inc.,6597,2.0015412808407866
Comair Inc.,6494,1.9854227048709199
ExpressJet Airlines Inc.,5650,1.8997279858512295
United Air Lines Inc.,5384,1.8630466903584566
Capital Cargo International,4680,1.7672581443034248
Endeavor Air Inc.,4236,1.6466728345630253
JetBlue Airways,3764,1.6521017771944992
Air Wisconsin Airlines Corp,3762,1.8365105323537307
Spirit Air Lines,3590,2.6486059774388937
"Commutair Aka Champlain Enterprises, Inc.",3113,2.3183419349553533
Alaska Airlines Inc.,3078,2.50134087473792
Trans States Airlines,3013,2.471758944026514
Horizon Air,2486,2.325668419181619
Frontier Airlines Inc.,2281,2.166088979630597
Delta Air Lines Inc.,1842,1.9552272075916315
"GoJet Airlines, LLC d/b/a United Express",1493,1.7796903124292236
Compass Airlines,649,0.8208643739802436
Allegiant Air,624,0.8210526315789474
Empire Airlines Inc.,278,0.4788810032384758
Peninsula Airways Inc.,272,3.0793614853390694
Hawaiian Airlines Inc.,137,9.294436906377204
