Airline,AtrasoMedio,NumVoos
Air Wisconsin Airlines Corp,6.350749340468127,106894
Alaska Airlines Inc.,1.3319915262237696,264817
Allegiant Air,7.94010730734533,105305
American Airlines Inc.,6.7996294794122365,946776
Capital Cargo International,3.5520828254262358,123054
Comair Inc.,6.541235133517192,288989
"Commutair Aka Champlain Enterprises, Inc.",23.321918280162613,58052
Compass Airlines,6.164060758526255,94209
Delta Air Lines Inc.,1.1811698955428807,991986
Empire Airlines Inc.,3.0687195743235596,8833
Endeavor Air Inc.,3.0546053194218765,257246
Envoy Air,6.674141810666373,327084
ExpressJet Airlines Inc.,14.814882667917812,134277
Frontier Airlines Inc.,8.55626627712239,135543
"GoJet Airlines, LLC d/b/a United Express",11.295081137826797,79063
Hawaiian Airlines Inc.,0.6434420855634096,83891
Horizon Air,1.8172555518183384,121897
JetBlue Airways,11.046639162640252,297411
Mesa Airlines Inc.,10.135192313600871,227831
Peninsula Airways Inc.,19.89416553595658,1474
Republic Airlines,4.605514023228437,329596
SkyWest Airlines Inc.,7.037804375235284,836755
Southwest Airlines Co.,2.5085985808822344,1363946
Spirit Air Lines,5.004974492909273,204845
Trans States Airlines,16.697710526315788,76000
United Air Lines Inc.,8.194048665143551,625910
